,name,mtype,mE,E_ts,E_tsra,E_Hab2,E_Hab3,E_CH3ab
4,dopGeO2_Ti,ts,0.52771168,0.52771168,1.1425577,-3.19855678,-3.26565223,-0.64393959
5,dopGeO2_V,ts,0.5411642,0.5411642,1.06636705,-3.34361717,-3.40345664,-0.67132872
6,dopIrO2_Ge,tsra,0.87266072,np.nan,0.87266072,-3.43362784,-3.54976653,-2.07715398
8,dopIrO2_Os,ts,-0.33527903,-0.33527903,np.nan,-3.43377536,-3.51768515,-2.67692925
10,dopIrO2_Ru,ts,-0.09269308,-0.09269308,np.nan,-3.46863346,-3.5534258999999997,-2.13335705
11,dopIrO2_Ti,ts,0.41615631,0.41615631,np.nan,-3.51159955,-3.61518096,-0.80442945
12,dopIrO2_V,ts,0.39333484,0.39333484,np.nan,-3.51692571,-3.6279919,-1.05749453
13,dopMoO2_Ge,tsra,1.23419967,1.34336908,1.23419967,-3.04260262,-3.17778206,-1.99827092
14,dopMoO2_Ir,ts,0.06664235,0.06664235,np.nan,-3.43828921,-3.56114206,-3.44006662
15,dopMoO2_Os,ts,-0.01218952,-0.01218952,np.nan,-3.59379417,-3.59395411,-3.48782062
16,dopMoO2_Rh,ts,0.50020125,0.50020125,np.nan,-3.33121151,-3.4292618999999998,-2.8364856
17,dopMoO2_Ru,ts,0.26126994,0.26126994,np.nan,-3.40373587,-3.50478975,-2.98063643
18,dopMoO2_Ti,ts,0.95975187,0.95975187,1.17089365,-3.36173066,-3.35676799,-1.00450788
19,dopMoO2_V,ts,0.7755824,0.7755824,1.2010914,-3.07555109,-3.2242062999999996,-1.4582452
21,dopOsO2_Ir,ts,-0.10449604,-0.10449604,np.nan,-2.96750853,-2.97739791,-2.8627781
22,dopOsO2_Mo,tsra,0.34017331,np.nan,0.34017331,-2.87992985,-2.8910313,-1.70689742
25,dopOsO2_Ti,ts,0.76338433,0.76338433,np.nan,-2.97526651,-3.00000788,-0.97763603
26,dopOsO2_V,ts,0.72968433,0.72968433,0.7348089,-2.95585332,-2.95809411,-1.08447624
27,dopRhO2_Ge,tsra,0.5100435,0.62626726,0.5100435,-3.88779364,-4.07581305,-1.39903221
28,dopRhO2_Ir,ts,-0.32117613,-0.32117613,np.nan,-3.92889706,-4.05356891,-2.61429064
29,dopRhO2_Mo,ts,0.11144236,0.11144236,0.48657085,-3.87183929,-4.0227633,-1.29805428
32,dopRhO2_Ti,ts,0.36684151,0.36684151,0.38176338,-4.00811207,-4.16511592,-0.66261072
33,dopRhO2_V,tsra,0.47148412,0.47236475,0.47148412,-3.91431432,-4.08967563,-0.64853785
34,dopRuO2_Ge,tsra,1.00118113,np.nan,1.00118113,-3.36143625,-3.4572443999999996,-1.73095457
35,dopRuO2_Ir,ts,-0.1173049,-0.1173049,np.nan,-3.33007014,-3.3951471,-2.64408125
36,dopRuO2_Mo,ts,0.37353896,0.37353896,np.nan,-3.28209185,-3.3681361000000005,-1.37362047
37,dopRuO2_Os,tsra,-0.02533875,-0.04202996,-0.02533875,-3.2944581,-3.36037228,-2.39661733
38,dopRuO2_Rh,ts,0.16831465,0.16831465,np.nan,-3.33879351,-3.4064299,-2.10249004
39,dopRuO2_Ti,ts,0.76998362,0.76998362,0.93575338,-3.36728358,-3.47057537,-0.55362828
40,dopRuO2_V,ts,0.73398698,0.73398698,0.92783719,-3.35017326,-3.46529861,-0.79473769
41,dopTiO2_Ge,ts,0.89175654,0.89175654,np.nan,-2.83435978,-2.86511613,-0.59966984
42,dopTiO2_Ir,ts,-0.23706749,-0.23706749,np.nan,-3.59994961,-3.62659506,-2.51580086
43,dopTiO2_Mo,ts,0.63123361,0.63123361,0.67010398,-2.80571266,-2.82064151,-1.4197541
45,dopTiO2_Rh,ts,-0.00999574,-0.00999574,0.68698537,-3.96074346,-3.99346081,-1.95721244
46,dopTiO2_Ru,ts,0.22188756,0.22188756,np.nan,-3.2803512,-3.31265321,-2.03141286
47,dopTiO2_V,ts,1.06914941,1.06914941,np.nan,-2.95162507,-2.99462331,-0.96678961
48,dopVO2_Ge,tsra,1.52820543,np.nan,1.52820543,-2.72684591,-2.88258612,-1.98308894
50,dopVO2_Mo,ts,1.07093043,1.07093043,np.nan,-2.70761136,-2.8933715,-1.23899855
51,dopVO2_Os,tsra,0.19732572,0.3337238,0.19732572,-2.72573115,-2.7970252,-2.73057192
53,dopVO2_Ru,ts,0.56376438,0.56376438,np.nan,-2.75871495,-2.81300666,-2.29021772
54,dopVO2_Ti,ts,1.21240117,1.21240117,1.52215603,-2.74251422,-2.91878506,-0.88922378
55,pureGeO2,tsra,1.29760952,np.nan,1.29760952,-2.99214245,-3.06011422,-0.70738118
56,pureIrO2,ts,-0.37501501,-0.37501501,np.nan,-3.48999477,-3.57331363,-2.95322302
57,pureMoO2,ts,0.19824622,0.19824622,np.nan,-3.07449792,-3.20548508,-2.07187369
58,pureOsO2,ts,-0.07037283,-0.07037283,np.nan,-2.91516346,-2.93688557,-2.65611455
59,pureRhO2,tsra,0.41874454,np.nan,0.41874454,-3.98389175,-4.11492347,-2.16573338
60,pureRuO2,ts,0.20514743,0.20514743,np.nan,-3.3231754999999996,-3.39344846,-1.86297559
61,pureTiO2,ts,1.02648295,1.02648295,1.65775574,-2.75044941,-2.76251901,-0.54766449
62,pureVO2,ts,1.34118404,1.34118404,1.46654297,-2.75014793,-2.84775748,-0.92254274
